name;ID;country;province;prefecture/city ;county;latitude;longitude;date;host
HeN-01_swine_Henan-Luohe_2019-08;HeN-01;mainland China;Henan;Luohe;NA;NA;NA;2019/08;swine
HLJ-2018-1_swine_Heilongjiang-Suihua_2018;HLJ-2018-1;mainland China;Heilongjiang;Suihua;NA;NA;NA;2018;swine
HM156570_human_India_2009;HM156570;India;NA;NA;NA;NA;NA;2009;human
HM156571_human_India_2009;HM156571;India;NA;NA;NA;NA;NA;2009;human
HM156612_human_India_2009;HM156612;India;NA;NA;NA;NA;NA;2009;human
HM204527_mosquito_Yunnan_2008-06;HM204527;mainland China;Yunnan;NA;NA;NA;NA;2008/06;mosquito
HM204528_human_Yunnan-Luxi_2009-07;HM204528;mainland China;Yunnan;Honghe Hani and Yi Autonomous Prefecture;Luxi;NA;NA;2009/07;human
HM204529_human_Yunna-Luxi_2009-06;HM204529;mainland China;Yunnan;Honghe Hani and Yi Autonomous Prefecture;Luxi;NA;NA;2009/06;human
HM204530_human_Shanxi-Linyi_2009-08;HM204530;mainland China;Shanxi;Yuncheng;Linyi;NA;NA;2009/08;human
HM228921_human_Vietnam_1990;HM228921;Vietnam;NA;NA;NA;NA;NA;1990;human
HM228922_mosquito_Vietnam_2007-06;HM228922;Vietnam;NA;NA;NA;NA;NA;2007/06;mosquito
HM228923_mosquito_Vietnam_2007-06;HM228923;Vietnam;NA;NA;NA;NA;NA;2007/06;mosquito
HM234674_mosquito_Sichuan-Neijiang_2009-07;HM234674;mainland China;Sichuan;Neijiang;NA;NA;NA;2009/07;mosquito
HM366552_human_GuiZhou_2008-09;HM366552;mainland China;GuiZhou;NA;NA;NA;NA;2008/09;human
HM596272_human_Malaysia_1952;HM596272;Malaysia;NA;NA;NA;NA;NA;1952;human
HQ009263_human_Vietnam_2004;HQ009263;Vietnam;NA;NA;NA;NA;NA;2004;human
HQ009264_human_Vietnam_2004;HQ009264;Vietnam;NA;NA;NA;NA;NA;2004;human
HQ009265_swine_Vietnam_2005;HQ009265;Vietnam;NA;NA;NA;NA;NA;2005;swine
HQ009266_swine_Vietnam_2005;HQ009266;Vietnam;NA;NA;NA;NA;NA;2005;swine
HQ223285_human_South_Korea_1951;HQ223285;South Korea;NA;NA;NA;NA;NA;1951;human
HQ223287_mosquito_Indonesia_1978;HQ223287;Indonesia;NA;NA;NA;NA;NA;1978;mosquito
HQ437283_mosquito_Wuhan_2009;HQ437283;mainland China;Hubei;Wuhan;NA;NA;NA;2009;mosquito
HQ538843_mosquito_Wuhan_2009;HQ538843;mainland China;Hubei;Wuhan;NA;NA;NA;2009;mosquito
HQ652538_mosquito_Tibet-MedogCounty_2009-08-05;HQ652538;mainland China;Tibet; Nyingchi;Medog;NA;NA;2009/08/05;mosquito
HQ891146_human_India_2009-10-29;HQ891146;India;NA;NA;NA;NA;NA;2009/10/29;human
HQ893545_swine_Shanxi-yuncheng_2009-08-14;HQ893545;mainland China;Shanxi;Yuncheng;NA;NA;NA;2009/08/14;swine
HQ893551_swine_Shanxi-yuncheng_2009-08-14;HQ893551;mainland China;Shanxi;Yuncheng;NA;NA;NA;2009/08/14;swine
HQ908073_swine_Myanmar_2008;HQ908073;Myanmar;NA;NA;NA;NA;NA;2008;swine
HuN-01_swine_Hunan-Zhuzhou_2018-08;HuN-01;mainland China;Hunan;Zhuzhou;NA;NA;NA;2018/08;swine
JEV-JL-2018-1_swine_Jilin_2018;JEV-JL-2018-1;mainland China;Jilin;NA;NA;NA;NA;2018;swine
JEV-JL-2018-2_swine_Jilin_2018;JEV-JL-2018-2;mainland China;Jilin;NA;NA;NA;NA;2018;swine
JF320943_human_Vietnam_2002;JF320943;Vietnam;NA;NA;NA;NA;NA;2002;human
JF320944_human_Vietnam_2004;JF320944;Vietnam;NA;NA;NA;NA;NA;2004;human
JF320945_human_Vietnam_2003;JF320945;Vietnam;NA;NA;NA;NA;NA;2003;human
JF499788_mosquito_Taiwan_2009;JF499788;Taiwan;NA;NA;NA;NA;NA;2009;mosquito
JF499789_mosquito_Taiwan_2009;JF499789;Taiwan;NA;NA;NA;NA;NA;2009;mosquito
JF499790_mosquito_Taiwan_2009;JF499790;Taiwan;NA;NA;NA;NA;NA;2009;mosquito
JF499792_mosquito_Taiwan_2009;JF499792;Taiwan;NA;NA;NA;NA;NA;2009;mosquito
JF499794_mosquito_Taiwan_2009;JF499794;Taiwan;NA;NA;NA;NA;NA;2009;mosquito
JF499802_mosquito_Taiwan_2009;JF499802;Taiwan;NA;NA;NA;NA;NA;2009;mosquito
JF499804_mosquito_Taiwan_2009;JF499804;Taiwan;NA;NA;NA;NA;NA;2009;mosquito
JF499805_mosquito_Taiwan_2009;JF499805;Taiwan;NA;NA;NA;NA;NA;2009;mosquito
JF499806_mosquito_Taiwan_2009;JF499806;Taiwan;NA;NA;NA;NA;NA;2009;mosquito
JF499807_mosquito_Taiwan_2009;JF499807;Taiwan;NA;NA;NA;NA;NA;2009;mosquito
JF499809_mosquito_Taiwan_2009;JF499809;Taiwan;NA;NA;NA;NA;NA;2009;mosquito
JF499810_mosquito_Taiwan_2010;JF499810;Taiwan;NA;NA;NA;NA;NA;2010;mosquito
JF499811_mosquito_Taiwan_2010;JF499811;Taiwan;NA;NA;NA;NA;NA;2010;mosquito
JF499813_mosquito_Taiwan_2010;JF499813;Taiwan;NA;NA;NA;NA;NA;2010;mosquito
JF499814_mosquito_Taiwan_2010;JF499814;Taiwan;NA;NA;NA;NA;NA;2010;mosquito
JF499815_mosquito_Taiwan_2010;JF499815;Taiwan;NA;NA;NA;NA;NA;2010;mosquito
JF499816_mosquito_Taiwan_2010;JF499816;Taiwan;NA;NA;NA;NA;NA;2010;mosquito
